name,date,languages,pdf_link,solution_link,materials_link,key_link
INF.04-03-23.06-SG,2023 - Czerwiec,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-03-23.06-SG/INF.04-03-23.06-SG.pdf,,,/practice/inf04/INF.04-03-23.06-SG/INF.04-03-23.06-SG-odpowiedzi.pdf
INF.04-02-25.01-SG,2025 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-02-25.01-SG/INF.04-02-25.01-SG.pdf,,,/practice/inf04/INF.04-02-25.01-SG/INF.04-02-25.01-SG-odpowiedzi.pdf
INF.04-02-24.01-SG,2024 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-02-24.01-SG/INF.04-02-24.01-SG.pdf,,,/practice/inf04/INF.04-02-24.01-SG/INF.04-02-24.01-SG-odpowiedzi.pdf
INF.04-02-23.06-SG,2023 - Czerwiec,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-02-23.06-SG/INF.04-02-23.06-SG.pdf,,,/practice/inf04/INF.04-02-23.06-SG/INF.04-02-23.06-SG-odpowiedzi.pdf
INF.04-02-23.01-SG,2023 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-02-23.01-SG/INF.04-02-23.01-SG.pdf,,,/practice/inf04/INF.04-02-23.01-SG/INF.04-02-23.01-SG-odpowiedzi.pdf
INF.04-02-22.06-SG,2022 - Czerwiec,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-02-22.06-SG/INF.04-02-22.06-SG.pdf,,,/practice/inf04/INF.04-02-22.06-SG/INF.04-02-22.06-SG-odpowiedzi.pdf
INF.04-01-25.01-SG,2025 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-25.01-SG/INF.04-01-25.01-SG.pdf,,,/practice/inf04/INF.04-01-25.01-SG/INF.04-01-25.01-SG-odpowiedzi.pdf
INF.04-01-24.01-SG,2024 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-24.01-SG/INF.04-01-24.01-SG.pdf,,,/practice/inf04/INF.04-01-24.01-SG/INF.04-01-24.01-SG-odpowiedzi.pdf
INF.04-01-23.06-SG,2023 - Czerwiec,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-23.06-SG/INF.04-01-23.06-SG.pdf,,,/practice/inf04/INF.04-01-23.06-SG/INF.04-01-23.06-SG-odpowiedzi.pdf
INF.04-01-23.01-SG,2023 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-23.01-SG/INF.04-01-23.01-SG.pdf,,,/practice/inf04/INF.04-01-23.01-SG/INF.04-01-23.01-SG-odpowiedzi.pdf
INF.04-01-22.06-SG,2022 - Czerwiec,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-22.06-SG/INF.04-01-22.06-SG.pdf,,,/practice/inf04/INF.04-01-22.06-SG/INF.04-01-22.06-SG-odpowiedzi.pdf
INF.04-01-22.01-SG,2022 - Styczeń,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-22.01-SG/INF.04-01-22.01-SG.pdf,,,/practice/inf04/INF.04-01-22.01-SG/INF.04-01-22.01-SG-odpowiedzi.pdf
INF.04-01-21.06-SG,2021 - Czerwiec,"{""JavaScript"",""C#""}",/practice/inf04/INF.04-01-21.06-SG/INF.04-01-21.06-SG.pdf,,,/practice/inf04/INF.04-01-21.06-SG/INF.04-01-21.06-SG-odpowiedzi.pdf
